"receipt_number","product"
15,"Передние тормозные колодки"
15,"Моторное масло"
15,"Масляный фильтр ДВС"
20,"Фильтр салона"
30,"Свечи зажигания на моделях с бензиновым ДВС"
30,"Передние тормозные колодки"
30,"Задние тормозные колодки"
30,"Моторное масло"
30,"Воздушный фильтр ДВС"
30,"Масляный фильтр ДВС"
30,"Топливный фильтр тонкой очистки"
40,"Передние тормозные колодки"
40,"Фильтр салона"
45,"Моторное масло"
45,"Масляный фильтр ДВС"
50,"Передние тормозные колодки"
50,"Масло в коробке передач"
50,"Жидкость ГУР"
50,"Масляный фильтр коробки передач"
55,"Тормозная жидкость"
60,"Свечи зажигания на моделях с бензиновым ДВС"
60,"Передние тормозные колодки"
60,"Задние тормозные колодки"
60,"Моторное масло"
60,"Воздушный фильтр ДВС"
60,"Масляный фильтр ДВС"
60,"Топливный фильтр тонкой очистки"
60,"Фильтр салона"
70,"Приводной ремень"
70,"Передние тормозные колодки"
70,"Основной аккумулятор"
75,"Моторное масло"
75,"Масляный фильтр ДВС"
80,"Рычаги подвески"
80,"Передние тормозные колодки"
80,"Фильтр салона"
90,"Свечи зажигания на моделях с бензиновым ДВС"
90,"Шрусы или их составные части"
90,"Передние тормозные колодки"
90,"Задние тормозные колодки"
90,"Моторное масло"
90,"Воздушный фильтр ДВС"
90,"Масляный фильтр ДВС"
90,"Топливный фильтр тонкой очистки"
